signal_id,market,session_date,signal_minute,direction,side,strike,contract,confidence,market_state,market_lookback_pct,strike_band,strike_distance,strike_distance_pct,underlying_at_signal,underlying_at_exit,und_move_to_exit_pct,und_pre_1m_pct,und_pre_3m_pct,und_pre_5m_pct,opt_pre_5m_pct,premium_position_in_range,und_1m_pct,und_3m_pct,und_5m_pct,und_10m_pct,opt_1m_pct,opt_3m_pct,opt_5m_pct,opt_10m_pct,opt_mid_1m_pct,opt_mid_3m_pct,opt_mid_5m_pct,opt_mid_10m_pct,und_direction_ok_1m,und_direction_ok_3m,und_direction_ok_5m,und_direction_ok_10m,opt_profitable_1m,opt_profitable_3m,opt_profitable_5m,opt_profitable_10m,quadrant_1m,quadrant_3m,quadrant_5m,quadrant_10m,response_ratio_5m,response_ratio_10m,theoretical_elasticity_5m,response_efficiency_5m,response_efficiency_10m,response_gap_5m,entry_ask,entry_bid,entry_ltp,entry_mid,entry_spread,entry_spread_pct,entry_delta,entry_gamma,entry_theta,entry_vega,entry_iv,greeks_status,iv_1m,iv_3m,iv_5m,iv_10m,iv_change_to_exit_pct,iv_state,exit_minute,exit_bid,exit_ask,exit_ltp,exit_spread,exit_reason,hold_minutes,entry_spread_cost,exit_spread_cost,mid_to_mid_per_unit,ask_to_bid_per_unit,execution_friction_per_unit,theta_estimate_per_unit,mfe_per_unit,mae_per_unit,final_pnl_per_unit,final_pnl,final_pnl_pct,loss_reason,loss_note,version,config_hash
NIF-2026-09-11-0927-438aaa,NIFTY,2026-09-11,09:27,BUY_CE,CE,23250.0,NIFTY 23250 CE,MODERATE,RANGE,0.0949,ATM,-7.9,0.034,23257.9,23256.1,-0.007739305784283663,0.007739904799183486,0.030536583687452403,,,61.4,-0.007739305784283663,0.0034396914596729385,-0.011608958676409854,0.02515274379887498,-0.6300630063006198,-0.45004500450045004,0.6750675067506752,4.18541854185419,-0.49527239981989835,-0.2701485817199434,0.8779828905898321,4.3448896893291336,,,,True,False,False,True,True,,,,UNDERLYING_CORRECT_OPTION_PROFITABLE,,,118.12,,,2.2493,111.1,111.0,111.0,111.05,0.09999999999999432,0.09004952723997688,0.564,0.00171,-13.67744,10.15572,8.939065902374688,VALID,8.939141292602894,8.86908311037555,9.314953853774801,9.076950038318238,0.0008433792638892004,IV_NEUTRAL,09:28,110.4,110.6,110.4,0.19999999999998863,SIGNAL_FLIP,1,0.04999999999999716,0.09999999999999432,-0.5499999999999972,-0.7,0.1500000000000028,-0.03647317333333333,147.8,-5.2,-0.7,-45.5,-0.63,MIXED,The underlying moved as expected and no single measured factor dominates.,12E-option-audit-v1,9d8fb5671d76d03c
NIF-2026-09-11-0931-7eeaaa,NIFTY,2026-09-11,09:31,BUY_CE,CE,23250.0,NIFTY 23250 CE,MODERATE,UNKNOWN,,ATM,-11.95,0.0514,23261.95,23243.0,-0.08146350585398354,0.013973265917699613,0.02515469059731504,0.02515469059731504,2.358811521887057,83.8,-0.02901734377384527,-0.011821880796751777,-0.001719546297715605,-0.08017384613070466,-0.9738822487826547,1.2394864984506344,2.4789729969012813,-5.710491367861889,-0.7090627077332127,1.4624418346997485,2.7033015732328805,-5.517394194549087,False,,,False,False,True,True,False,UNDERLYING_WRONG_OPTION_LOSS,,,UNDERLYING_WRONG_OPTION_LOSS,,68.82,118.14,,0.583,2.9065,112.95,112.7,112.7,112.825,0.25,0.22158209616662972,0.57302,0.00172,-13.58706,10.11451,8.8384967204503,VALID,9.314953853774801,9.190365830677456,9.225600170217154,9.291888068660167,7.922546946278676,IV_TAILWIND,09:33,108.7,109.0,109.0,0.29999999999999716,SIGNAL_FLIP,2,0.125,0.14999999999999858,-3.9750000000000085,-4.25,0.2749999999999915,-0.07246432,145.95,-7.05,-4.25,-276.25,-3.763,SIGNAL_FLIP,The underlying never moved the expected way and 12C flipped to the other side.,12E-option-audit-v1,9d8fb5671d76d03c
NIF-2026-09-11-0935-aef637,NIFTY,2026-09-11,09:35,BUY_CE,CE,23250.0,NIFTY 23250 CE,STRONG,RANGE,-0.0075,ATM,-9.05,0.0389,23259.05,23253.05,-0.025796410429488735,-0.000644906101677853,0.01655543706353222,0.0015048132526690864,3.4311512415349994,100.0,0.010748504345620307,-0.0010748504345620307,-0.025796410429488735,-0.04750838920763863,0.9594417793283858,0.13083296990840948,-3.5324901875272667,-6.279982555604015,1.1567001309471745,0.3055434308162325,-3.3391532082060382,-6.1108686163247485,,,False,False,True,True,False,False,,,UNDERLYING_WRONG_OPTION_LOSS,UNDERLYING_WRONG_OPTION_LOSS,,,115.17,,,-0.3683,114.65,114.45,114.45,114.55000000000001,0.20000000000000284,0.17459624618070957,0.5672,0.00167,-13.91401,10.13696,9.136133873580661,VALID,9.225600170217154,9.249691419136626,9.159587364391198,9.16562948050473,0.2567113303621621,IV_NEUTRAL,09:40,110.6,110.85,110.6,0.25,SIGNAL_FLIP,5,0.10000000000000142,0.125,-3.825000000000017,-4.05,0.22499999999998277,-0.18552013333333334,144.25,-8.75,-4.05,-263.25,-3.532,SIGNAL_FLIP,The underlying never moved the expected way and 12C flipped to the other side.,12E-option-audit-v1,9d8fb5671d76d03c
NIF-2026-09-11-0944-6fb6d1,NIFTY,2026-09-11,09:44,BUY_CE,CE,23250.0,NIFTY 23250 CE,STRONG,RANGE,-0.0275,ATM,-2.8,0.012,23252.8,23244.5,-0.03569462602352952,0.028391737144129126,0.04087199321955144,-0.0337479821071302,-3.7409757164734243,36.7,-0.02064267529071455,-0.03569462602352952,-0.035049542420688334,-0.03031892933323846,-2.4069028156221544,-3.542234332425061,-2.815622161671203,-3.360581289736593,-2.227272727272717,-3.386363636363631,-2.6136363636363633,-3.1818181818181817,False,False,False,False,False,False,False,False,UNDERLYING_WRONG_OPTION_LOSS,UNDERLYING_WRONG_OPTION_LOSS,UNDERLYING_WRONG_OPTION_LOSS,UNDERLYING_WRONG_OPTION_LOSS,,,117.37,,,1.5003,110.1,109.9,109.9,110.0,0.19999999999998863,0.18181818181817147,0.55525,0.00169,-13.84624,10.17416,9.097308832856971,VALID,9.16562948050473,9.237736489178044,9.260980006748012,9.143232292912495,1.5436175565886796,IV_TAILWIND,09:47,106.2,106.35,106.35,0.14999999999999147,SIGNAL_FLIP,3,0.09999999999999432,0.07499999999999574,-3.7249999999999943,-3.9,0.1750000000000056,-0.11076992000000001,148.8,-4.2,-3.9,-253.5,-3.542,SIGNAL_FLIP,The underlying never moved the expected way and 12C flipped to the other side.,12E-option-audit-v1,9d8fb5671d76d03c
NIF-2026-09-11-0953-665111,NIFTY,2026-09-11,09:53,BUY_PE,PE,23250.0,NIFTY 23250 PE,STRONG,RANGE,0.0133,ATM,0.7,0.003,23249.3,23258.1,0.037850601953604075,0.0010753127547147088,-0.00129034478012212,0.02538354973884121,-1.578298397040685,54.6,-0.015269276924463414,0.037850601953604075,0.04967891506410633,0.07290542080837155,-0.5505505505505619,-5.255255255255255,-5.055055055055066,-8.508508508508509,-0.3257328990228184,-5.011275369581558,-4.8358807316462205,-8.343773490353296,,False,False,False,False,False,False,False,,UNDERLYING_WRONG_OPTION_LOSS,UNDERLYING_WRONG_OPTION_LOSS,UNDERLYING_WRONG_OPTION_LOSS,,114.45,107.25,,1.067,0.4923,99.9,99.65,99.75,99.775,0.25,0.2505637684790779,-0.46028,0.00141,-9.56554,10.21259,10.963514845151574,VALID,10.847439305457605,10.932080065723335,11.114585229302758,10.948351484506727,-0.28672172995816075,IV_NEUTRAL,09:56,94.65,94.9,94.9,0.25,SIGNAL_FLIP,3,0.125,0.125,-5.0,-5.25,0.25,-0.07652432,-0.55,-63.55,-5.25,-341.25,-5.255,SIGNAL_FLIP,The underlying never moved the expected way and 12C flipped to the other side.,12E-option-audit-v1,9d8fb5671d76d03c
NIF-2026-09-11-1005-a83912,NIFTY,2026-09-11,10:05,BUY_CE,CE,23300.0,NIFTY 23300 CE,MODERATE,TRENDING_UP,0.1123,NEAR_ATM,24.9,0.107,23275.1,23297.9,0.09795876279802412,0.012461219824502268,0.0647032143095104,0.05265906799897691,5.489051094890515,100.0,-0.0036519714200950576,-0.006444655447237607,0.032652920932679914,0.07260978470554995,-0.9950248756218968,-0.331674958540627,5.140961857379758,10.55831951354339,-0.7196235815112157,-0.08303349017437348,5.397176861334056,10.794353722668143,,,True,True,False,False,True,True,,,UNDERLYING_CORRECT_OPTION_PROFITABLE,UNDERLYING_CORRECT_OPTION_PROFITABLE,,148.66,131.38,,1.132,1.1072,90.45,90.2,90.45,90.325,0.25,0.2767783005812344,0.50986,0.0018,-13.1119,10.26315,8.594602252492939,VALID,8.606346925079631,8.664332648465148,8.695136088313355,8.725210813810671,6.9657536946560015,IV_TAILWIND,10:25,108.5,108.7,108.7,0.20000000000000284,POSITION_SIGNAL,20,0.125,0.10000000000000142,18.27499999999999,18.05,0.22499999999999076,-0.6993013333333334,128.6,-1.2,18.05,1173.25,19.956,,,12E-option-audit-v1,9d8fb5671d76d03c
NIF-2026-09-11-1027-de6555,NIFTY,2026-09-11,10:27,BUY_PE,PE,23300.0,NIFTY 23300 PE,MODERATE,RANGE,-0.0142,ATM,9.4,0.0404,23290.6,23283.8,-0.029196328132376465,-0.018888173427780448,-0.04785048333280314,-0.06736376001339006,7.150025087807325,100.0,-0.043794492198556884,-0.06440366499789615,-0.029196328132376465,0.02232660386594046,2.3854069223573404,3.6014967259120616,0.4677268475210477,-4.677268475210477,2.645750409740097,3.8164364317489943,0.6555841723249718,-4.4486068836338095,True,True,True,False,True,True,True,False,UNDERLYING_CORRECT_OPTION_PROFITABLE,UNDERLYING_CORRECT_OPTION_PROFITABLE,UNDERLYING_CORRECT_OPTION_PROFITABLE,UNDERLYING_WRONG_OPTION_LOSS,,,102.76,,,-2.3447,106.9,106.65,106.65,106.775,0.25,0.23413720440177943,-0.47111,0.00137,-9.98374,10.22836,11.318784974326721,VALID,11.148386911758138,10.994555293348157,11.077594071367823,11.079914651376034,-2.1308904048090653,IV_HEADWIND,10:32,107.4,107.55,107.55,0.14999999999999147,SIGNAL_FLIP,5,0.125,0.07499999999999574,0.6999999999999886,0.5,0.19999999999998863,-0.13311653333333334,3.85,-60.8,0.5,32.5,0.468,,,12E-option-audit-v1,9d8fb5671d76d03c
NIF-2026-09-11-1044-0f3086,NIFTY,2026-09-11,10:44,BUY_CE,CE,23300.0,NIFTY 23300 CE,MODERATE,RANGE,0.0741,ATM,-0.45,0.0019,23300.45,23292.2,-0.035407041494906755,0.012662302822194344,0.016740676194550073,0.024469032721968376,5.171208944793848,100.0,0.042703037924163384,0.015664933509858467,-0.024248458720760566,-0.07939760820069999,5.530973451327434,0.7964601769911555,-3.3185840707964607,-9.159292035398225,5.758582502768549,1.0409745293466324,-3.078626799557027,-8.947951273532665,True,,False,False,True,True,False,False,UNDERLYING_CORRECT_OPTION_PROFITABLE,,UNDERLYING_WRONG_OPTION_LOSS,UNDERLYING_WRONG_OPTION_LOSS,,112.7,113.21,,0.995,-0.3335,113.0,112.75,112.75,112.875,0.25,0.22148394241417496,0.54842,0.00161,-14.42476,10.1702,9.55306288159347,VALID,9.665642989685203,9.476547125400936,9.497764276175735,9.534526183276542,-2.3144920030566034,IV_HEADWIND,10:50,106.1,106.4,106.1,0.30000000000001137,POSITION_SIGNAL,6,0.125,0.15000000000000568,-6.625,-6.9,0.27500000000000036,-0.23079616,106.05,-13.4,-6.9,-448.5,-6.106,MOMENTUM_REVERSAL,"The underlying moved the right way first, then reversed (-0.04% by the exit).",12E-option-audit-v1,9d8fb5671d76d03c
NIF-2026-09-11-1052-edf38f,NIFTY,2026-09-11,10:52,BUY_PE,PE,23300.0,NIFTY 23300 PE,MODERATE,RANGE,-0.0431,ATM,15.55,0.0668,23284.45,23280.85,-0.015460962144273036,-0.01588790865741043,-0.044430516681828326,-0.08431992653652284,6.791979949874692,100.0,-0.0034357693653887995,-0.012669399534885847,-0.028559832849826623,0.02877456843516049,-0.1406469760900194,0.0937646507266707,0.1875293014533414,-5.016408813877176,0.09387467730579142,0.3050927012438288,0.375498709223179,-4.787608542595643,,,True,False,False,True,True,False,,,UNDERLYING_CORRECT_OPTION_PROFITABLE,UNDERLYING_WRONG_OPTION_LOSS,,,104.84,,,-2.6187,106.65,106.4,106.45,106.525,0.25,0.23468669326449187,-0.47964,0.00141,-9.62002,10.21906,11.016001665132888,VALID,10.995708184823181,10.867986550195738,10.772302379166762,10.844614668315165,-2.006881160731446,IV_HEADWIND,10:59,106.05,106.15,106.05,0.10000000000000853,SIGNAL_FLIP,7,0.125,0.05000000000000426,-0.42500000000001137,-0.6,0.1749999999999886,-0.1795737066666667,1.8,-60.55,-0.6,-39.0,-0.563,IV_HEADWIND,The underlying moved as expected but IV fell -2.01% over the hold.,12E-option-audit-v1,9d8fb5671d76d03c
NIF-2026-09-11-1105-71a40d,NIFTY,2026-09-11,11:05,BUY_PE,PE,23300.0,NIFTY 23300 PE,MODERATE,RANGE,-0.0017,ATM,18.9,0.0812,23281.1,23289.4,0.0356512364106632,-0.009019378779558577,-0.043149436588587976,-0.012240191204680402,0.2622169249106133,51.9,0.016537019298925665,0.04359759633351283,0.07452397008733344,0.19779993213380345,-1.4245014245014245,-4.795821462488126,-6.742640075973403,-19.135802469135797,-1.1650023775558804,-4.541131716595345,-6.490727532097007,-18.925344745601528,,False,False,False,False,False,False,False,,UNDERLYING_WRONG_OPTION_LOSS,UNDERLYING_WRONG_OPTION_LOSS,UNDERLYING_WRONG_OPTION_LOSS,87.1,95.68,107.2,0.812,0.893,1.4982,105.3,105.0,105.25,105.15,0.29999999999999716,0.2853067047075579,-0.48417,0.00145,-9.301,10.21243,10.748875401288206,VALID,10.781990357992527,10.76665656066426,10.892564595411033,10.829675945849363,-0.684528840446615,IV_NEUTRAL,11:07,100.4,100.65,100.4,0.25,SIGNAL_FLIP,2,0.14999999999999858,0.125,-4.625,-4.9,0.27500000000000036,-0.049605333333333335,-1.5,-59.2,-4.9,-318.5,-4.653,SIGNAL_FLIP,The underlying never moved the expected way and 12C flipped to the other side.,12E-option-audit-v1,9d8fb5671d76d03c
