break_state,confirmation,end,entry_ask,mae,mfe,minute,quality,reason,session_date,setup,side,strike,structure,symbol,volume_state,vwap_state
CLEAN_BREAK,PARTIAL,-1.7,447.2,-12.3,13.15,13:28,A,"Partial: HIGHER HIGH → HIGHER LOW → HIGH BREAK at 77,721.0 → NO FOLLOW-THROUGH YET → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME DECLINING",2026-07-20,BREAKOUT_CONTINUATION,CE,77700.0,BREAKOUT_UP,SENSEX,VOLUME_DECLINING,ABOVE_VWAP
NO_BREAK,NO_SETUP,-3.6,122.9,-5.9,-0.45,10:09,A,"Bullish candidate with no clean setup: No break of 23,965.0. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME SPIKE",2026-07-23,PULLBACK_IN_TREND,CE,24000.0,TRENDING_UP,NIFTY,VOLUME_SPIKE,ABOVE_VWAP
CLEAN_BREAK,PARTIAL,1.8,128.45,-1.9,6.1,11:22,A,"Partial: HIGHER LOW → LOW BREAK at 23,960.2 → NO FOLLOW-THROUGH YET → ABOVE VWAP → AT POC → VOLUME NORMAL",2026-07-23,BREAKOUT_CONTINUATION,PE,23950.0,BREAKDOWN,NIFTY,VOLUME_NORMAL,ABOVE_VWAP
NO_BREAK,CONTRADICTED,0.45,114.6,-0.9,5.4,15:08,B,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → HIGHER LOW → BELOW VWAP → VOLUME NORMAL,2026-07-23,NO_CLEAR_SETUP,CE,23900.0,REVERSING_UP,NIFTY,VOLUME_NORMAL,BELOW_VWAP
NO_BREAK,CONTRADICTED,0.45,158.85,-33.05,0.45,10:18,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME NORMAL,2026-07-23,PULLBACK_IN_TREND,CE,76600.0,TRENDING_UP,SENSEX,VOLUME_NORMAL,ABOVE_VWAP
NO_BREAK,CONTRADICTED,-34.4,134.35,-34.45,-0.25,12:42,A,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME DECLINING,2026-07-30,PULLBACK_IN_TREND,CE,77800.0,TRENDING_UP,SENSEX,VOLUME_DECLINING,ABOVE_VWAP
CLEAN_BREAK,PARTIAL,-17.2,398.25,-21.15,-1.8,15:09,B,"Partial: LOWER HIGH → LOWER LOW → HIGH BREAK at 78,118.7 → NO FOLLOW-THROUGH YET → ABOVE VWAP → VOLUME DECLINING",2026-07-31,BREAKOUT_CONTINUATION,CE,78200.0,BREAKOUT_UP,SENSEX,VOLUME_DECLINING,ABOVE_VWAP
CLEAN_BREAK,PARTIAL,-11.8,296.0,-15.85,-3.7,09:52,B,"Partial: HIGHER HIGH → LOWER LOW → HIGH BREAK at 78,864.5 → NO FOLLOW-THROUGH YET → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME EXPANDING",2026-08-04,BREAKOUT_CONTINUATION,CE,78900.0,BREAKOUT_UP,SENSEX,VOLUME_EXPANDING,ABOVE_VWAP
CLEAN_BREAK,PARTIAL,4.05,135.95,0.8,4.05,11:19,A,"Partial: HIGH BREAK at 24,656.3 → NO FOLLOW-THROUGH YET → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME NORMAL",2026-08-06,BREAKOUT_CONTINUATION,CE,24700.0,BREAKOUT_UP,NIFTY,VOLUME_NORMAL,ABOVE_VWAP
NO_BREAK,NO_SETUP,-5.25,133.5,-5.25,1.15,11:58,A,"Bullish candidate with no clean setup: No break of 24,663.4. LOWER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME EXPANDING",2026-08-06,NO_CLEAR_SETUP,CE,24700.0,BREAKOUT_UP,NIFTY,VOLUME_EXPANDING,ABOVE_VWAP
NO_BREAK,CONTRADICTED,-1.05,137.75,-16.45,-1.05,13:15,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → LOWER LOW → REJECTED VWAP → AT VAL → VOLUME DECLINING,2026-08-06,NO_CLEAR_SETUP,PE,24650.0,MIXED,NIFTY,VOLUME_DECLINING,REJECTED_VWAP
CLEAN_BREAK,PARTIAL,-36.1,240.65,-41.25,-6.0,15:04,B,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 78,755.1 → NO FOLLOW-THROUGH YET → REJECTED VWAP → AT VAL → VOLUME SPIKE",2026-08-06,BREAKOUT_CONTINUATION,PE,78800.0,BREAKDOWN,SENSEX,VOLUME_SPIKE,REJECTED_VWAP
CLEAN_BREAK,PARTIAL,4.3,126.35,-0.6,4.8,10:18,B,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 24,594.0 → NO FOLLOW-THROUGH YET → CROSSING VWAP → AT VAL → VOLUME NORMAL",2026-08-07,BREAKOUT_CONTINUATION,PE,24600.0,BREAKDOWN,NIFTY,VOLUME_NORMAL,CROSSING_VWAP
CLEAN_BREAK,PARTIAL,5.0,128.5,-2.75,5.0,10:19,B,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 24,591.8 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME EXPANDING",2026-08-07,BREAKOUT_CONTINUATION,PE,24600.0,BREAKDOWN,NIFTY,VOLUME_EXPANDING,BELOW_VWAP
NO_BREAK,CONTRADICTED,-11.65,99.9,-11.65,-2.35,09:43,A,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → BELOW VWAP → AT VAL → VOLUME DECLINING,2026-08-10,RANGE_ROTATION,PE,24550.0,RANGE,NIFTY,VOLUME_DECLINING,BELOW_VWAP
NO_BREAK,CONTRADICTED,-1.7,95.85,-6.85,0.35,10:30,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME DECLINING,2026-08-10,PULLBACK_IN_TREND,CE,24600.0,TRENDING_UP,NIFTY,VOLUME_DECLINING,ABOVE_VWAP
CLEAN_BREAK,PARTIAL,-18.5,335.9,-24.65,-8.55,11:10,A,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 78,110.0 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME SPIKE",2026-08-11,BREAKOUT_CONTINUATION,PE,78100.0,BREAKDOWN,SENSEX,VOLUME_SPIKE,BELOW_VWAP
CLEAN_BREAK,PARTIAL,0.15,129.15,-4.65,2.25,10:05,B,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 24,370.3 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL",2026-08-12,BREAKOUT_CONTINUATION,PE,24400.0,TRENDING_DOWN,NIFTY,VOLUME_NORMAL,BELOW_VWAP
CLEAN_BREAK,PARTIAL,-2.25,132.9,-8.5,2.3,11:03,B,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 24,309.3 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL",2026-08-12,BREAKOUT_CONTINUATION,PE,24350.0,BREAKDOWN,NIFTY,VOLUME_NORMAL,BELOW_VWAP
NO_BREAK,CONTRADICTED,2.0,79.2,-7.15,2.2,13:51,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME NORMAL,2026-08-14,PULLBACK_IN_TREND,CE,24450.0,TRENDING_UP,NIFTY,VOLUME_NORMAL,ABOVE_VWAP
CLEAN_BREAK,PARTIAL,1.35,136.05,1.35,7.4,09:31,B,"Partial: LOWER LOW → LOW BREAK at 24,094.5 → NO FOLLOW-THROUGH YET → BELOW VWAP → AT VAL → VOLUME NORMAL",2026-08-19,BREAKOUT_CONTINUATION,PE,24150.0,BREAKDOWN,NIFTY,VOLUME_NORMAL,BELOW_VWAP
CLEAN_BREAK,PARTIAL,-4.75,126.5,-6.65,-2.5,11:08,B,"Partial: HIGHER HIGH → LOWER LOW → LOW BREAK at 24,045.0 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME EXPANDING",2026-08-19,BREAKOUT_CONTINUATION,PE,24100.0,BREAKDOWN,NIFTY,VOLUME_EXPANDING,BELOW_VWAP
CLEAN_BREAK,PARTIAL,20.1,253.65,3.05,32.3,14:50,A,"Partial: HIGHER HIGH → HIGHER LOW → HIGH BREAK at 77,425.0 → NO FOLLOW-THROUGH YET → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME EXPANDING",2026-08-25,BREAKOUT_CONTINUATION,CE,77700.0,BREAKOUT_UP,SENSEX,VOLUME_EXPANDING,ABOVE_VWAP
NO_BREAK,CONTRADICTED,-10.65,91.7,-11.0,-2.6,09:49,B,Price action contradicts the candidate: structure reads trending down. LOWER HIGH → LOWER LOW → CROSSING VWAP → VOLUME EXPANDING,2026-08-27,PULLBACK_IN_TREND,CE,24300.0,TRENDING_DOWN,NIFTY,VOLUME_EXPANDING,CROSSING_VWAP
