contract,entry_ask,entry_minute,entry_value,exit_bid,exit_minute,exit_reason,expiry,hold_minutes,mae_per_unit,market,mfe_per_unit,price_action,quality,quantity,realised_pnl,realised_pnl_per_unit,session_date,side,signal_minute,status,stop_price,strike,symbol
SENSEX 77700 CE,447.2,13:28,8944.0,446.6,13:39,SIGNAL_FLIP,2026-07-23,11,-12.3,SENSEX,13.15,PARTIAL,A,20,-12.0,-0.6,2026-07-20,CE,13:28,CLOSED,402.48,77700.0,SENSEX
NIFTY 23950 PE,128.45,11:22,8349.25,130.25,11:32,SIGNAL_FLIP,2026-07-28,10,-1.9,NIFTY,6.1,PARTIAL,A,65,117.0,1.8,2026-07-23,PE,11:22,CLOSED,115.6,23950.0,NIFTY
SENSEX 78200 CE,398.25,15:09,7965.0,377.1,15:17,SIGNAL_FLIP,2026-08-06,8,-21.15,SENSEX,-1.8,PARTIAL,B,20,-423.0,-21.15,2026-07-31,CE,15:09,CLOSED,358.43,78200.0,SENSEX
SENSEX 78900 CE,296.0,09:52,5920.0,284.05,09:55,SIGNAL_FLIP,2026-08-06,3,-14.35,SENSEX,-10.0,PARTIAL,B,20,-239.0,-11.95,2026-08-04,CE,09:52,CLOSED,266.4,78900.0,SENSEX
NIFTY 24700 CE,135.95,11:19,8836.75,135.0,11:33,SIGNAL_FLIP,2026-08-11,14,-0.95,NIFTY,6.05,PARTIAL,A,65,-61.75,-0.95,2026-08-06,CE,11:19,CLOSED,122.35,24700.0,NIFTY
SENSEX 78800 PE,240.65,15:04,4813.0,226.9,15:07,SIGNAL_FLIP,2026-08-06,3,-13.75,SENSEX,-6.0,PARTIAL,B,20,-275.0,-13.75,2026-08-06,PE,15:04,CLOSED,216.59,78800.0,SENSEX
NIFTY 24600 PE,126.35,10:18,8212.75,131.4,10:35,SIGNAL_FLIP,2026-08-11,17,-0.6,NIFTY,9.95,PARTIAL,B,65,328.25,5.05,2026-08-07,PE,10:18,CLOSED,113.72,24600.0,NIFTY
SENSEX 78100 PE,335.9,11:10,6718.0,301.0,11:42,STOP_LOSS,2026-08-13,32,-34.9,SENSEX,-5.75,PARTIAL,A,20,-698.0,-34.9,2026-08-11,PE,11:10,CLOSED,302.31,78100.0,SENSEX
NIFTY 24400 PE,129.15,10:05,8394.75,124.5,10:11,SIGNAL_FLIP,2026-08-18,6,-4.65,NIFTY,2.25,PARTIAL,B,65,-302.25,-4.65,2026-08-12,PE,10:05,CLOSED,116.24,24400.0,NIFTY
NIFTY 24350 PE,132.9,11:03,8638.5,127.85,11:20,SIGNAL_FLIP,2026-08-18,17,-8.5,NIFTY,2.3,PARTIAL,B,65,-328.25,-5.05,2026-08-12,PE,11:03,CLOSED,119.61,24350.0,NIFTY
NIFTY 24150 PE,136.05,09:31,8843.25,137.4,09:41,SIGNAL_FLIP,2026-08-25,10,1.35,NIFTY,7.4,PARTIAL,B,65,87.75,1.35,2026-08-19,PE,09:31,CLOSED,122.45,24150.0,NIFTY
NIFTY 24100 PE,126.5,11:08,8222.5,121.45,11:10,SIGNAL_FLIP,2026-08-25,2,-5.05,NIFTY,-3.0,PARTIAL,B,65,-328.25,-5.05,2026-08-19,PE,11:08,CLOSED,113.85,24100.0,NIFTY
SENSEX 77700 CE,253.65,14:50,5073.0,282.35,15:15,SIGNAL_FLIP,2026-08-27,25,3.05,SENSEX,50.7,PARTIAL,A,20,574.0,28.7,2026-08-25,CE,14:50,CLOSED,228.28,77700.0,SENSEX
SENSEX 77400 PE,394.8,11:27,7896.0,451.35,11:51,SIGNAL_FLIP,2026-09-03,24,10.15,SENSEX,85.45,PARTIAL,B,20,1131.0,56.55,2026-08-28,PE,11:27,CLOSED,355.32,77400.0,SENSEX
SENSEX 77000 CE,366.4,10:07,7328.0,347.0,10:10,SIGNAL_FLIP,2026-09-03,3,-19.4,SENSEX,-10.05,PARTIAL,B,20,-388.0,-19.4,2026-08-31,CE,10:07,CLOSED,329.76,77000.0,SENSEX
SENSEX 76900 CE,317.6,10:16,6352.0,333.35,10:36,SIGNAL_FLIP,2026-09-03,20,-5.9,SENSEX,35.5,PARTIAL,B,20,315.0,15.75,2026-09-01,CE,10:16,CLOSED,285.84,76900.0,SENSEX
SENSEX 77200 PE,289.65,11:41,5793.0,282.15,11:44,SIGNAL_FLIP,2026-09-03,3,-11.6,SENSEX,-4.85,PARTIAL,B,20,-150.0,-7.5,2026-09-01,PE,11:41,CLOSED,260.69,77200.0,SENSEX
SENSEX 76900 PE,262.8,13:48,5256.0,393.6,14:26,SIGNAL_FLIP,2026-09-03,38,-1.4,SENSEX,136.65,PARTIAL,B,20,2616.0,130.8,2026-09-01,PE,13:48,CLOSED,236.52,76900.0,SENSEX
NIFTY 23900 PE,124.05,15:02,8063.25,125.1,15:08,SIGNAL_FLIP,2026-09-08,6,0.45,NIFTY,3.85,PARTIAL,A,65,68.25,1.05,2026-09-02,PE,15:02,CLOSED,111.64,23900.0,NIFTY
NIFTY 23950 PE,116.3,12:24,7559.5,112.95,12:32,SIGNAL_FLIP,2026-09-08,8,-3.9,NIFTY,0.25,PARTIAL,B,65,-217.75,-3.35,2026-09-03,PE,12:24,CLOSED,104.67,23950.0,NIFTY
SENSEX 76700 PE,424.9,09:28,8498.0,404.15,09:34,SIGNAL_FLIP,2026-09-10,6,-20.75,SENSEX,7.5,PARTIAL,A,20,-415.0,-20.75,2026-09-04,PE,09:28,CLOSED,382.41,76700.0,SENSEX
SENSEX 76800 CE,446.9,09:53,8938.0,449.15,10:07,SIGNAL_FLIP,2026-09-10,14,-0.05,SENSEX,25.25,PARTIAL,B,20,45.0,2.25,2026-09-04,CE,09:53,CLOSED,402.21,76800.0,SENSEX
NIFTY 23850 PE,72.8,09:25,4732.0,73.55,09:33,SIGNAL_FLIP,2026-09-08,8,-0.3,NIFTY,4.65,UNKNOWN,B,65,48.75,0.75,2026-09-07,PE,09:25,CLOSED,65.52,23850.0,NIFTY
NIFTY 23550 CE,126.8,12:29,8242.0,150.05,12:54,SIGNAL_FLIP,2026-09-15,25,1.1,NIFTY,36.95,PARTIAL,A,65,1511.25,23.25,2026-09-09,CE,12:29,CLOSED,114.12,23550.0,NIFTY
SENSEX 75100 PE,248.1,14:46,4962.0,308.55,15:18,SIGNAL_FLIP,2026-09-10,32,-12.3,SENSEX,83.65,PARTIAL,B,20,1209.0,60.45,2026-09-09,PE,14:46,CLOSED,223.29,75100.0,SENSEX
NIFTY 23450 PE,106.5,09:31,6922.5,100.25,09:42,SIGNAL_FLIP,2026-09-15,11,-7.2,NIFTY,1.25,UNKNOWN,B,65,-406.25,-6.25,2026-09-10,PE,09:31,CLOSED,95.85,23450.0,NIFTY
NIFTY 23450 PE,103.85,10:55,6750.25,102.2,11:00,SIGNAL_FLIP,2026-09-15,5,-1.65,NIFTY,3.75,PARTIAL,A,65,-107.25,-1.65,2026-09-10,PE,10:55,CLOSED,93.47,23450.0,NIFTY
SENSEX 74700 CE,376.65,12:04,7533.0,372.0,12:06,SIGNAL_FLIP,2026-09-17,2,-4.65,SENSEX,12.85,PARTIAL,B,20,-93.0,-4.65,2026-09-15,CE,12:04,CLOSED,338.99,74700.0,SENSEX
NIFTY 23350 PE,44.6,11:55,2899.0,39.75,12:05,STOP_LOSS,2026-09-22,10,-4.85,NIFTY,5.15,PARTIAL,B,65,-315.25,-4.85,2026-09-22,PE,11:55,CLOSED,40.14,23350.0,NIFTY
NIFTY 23250 CE,112.6,10:38,7319.0,110.3,10:40,SIGNAL_FLIP,2026-09-29,2,-2.3,NIFTY,-2.1,PARTIAL,B,65,-149.5,-2.3,2026-09-24,CE,10:38,CLOSED,101.34,23250.0,NIFTY
NIFTY 23150 CE,102.1,10:09,6636.5,102.3,10:20,SIGNAL_FLIP,2026-09-29,11,-0.75,NIFTY,5.3,PARTIAL,A,65,13.0,0.2,2026-09-25,CE,10:09,CLOSED,91.89,23150.0,NIFTY
SENSEX 73800 PE,447.15,12:44,8943.0,476.2,13:01,SIGNAL_FLIP,2026-10-01,17,5.85,SENSEX,77.75,PARTIAL,B,20,581.0,29.05,2026-09-25,PE,12:44,CLOSED,402.44,73800.0,SENSEX
