date,time,symbol,direction,event_type,strength,mode,expiry_day,option,passed_gates,reasons,categories,cf_active_exit_pct,cf_exit_reason,mfe_pct,mae_pct,fut_mfe_after_det,fut_mae_after_det,timing,status,option_response_pct
2026-09-17,14:55:35,NIFTY,UP,MOMENTUM_EVENT,WEAK,PRE,False,CE 23300,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,expiry/time;confirmation,-0.171,EVENT_INVALIDATED,-0.171,-7.219,0.0,-23.9,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),-1.447
2026-09-17,14:56:50,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,PRE,False,PE 23250,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM,expiry/time;confirmation,-0.349,TIME_EXIT,4.434,-2.491,10.0,-5.0,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),1.665
2026-09-17,14:59:10,NIFTY,UP,MOMENTUM_EVENT,WEAK,PRE,False,CE 23300,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,expiry/time;confirmation,-0.268,UNDERLYING_INVALIDATION,3.666,-2.906,5.0,-15.0,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),-0.11
2026-09-17,15:00:55,NIFTY,UP,MOMENTUM_EVENT,STRONG,MODE_A,False,CE 23300,True,RISK_TOO_LARGE,risk,-1.229,EVENT_INVALIDATED,1.8,-2.063,8.6,-11.2,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),4.106
2026-09-17,15:02:35,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_A,False,CE 23350,False,WEAK_MOMENTUM,confirmation,-0.609,FUTURES_DIVERGENCE,2.049,-3.212,17.9,-2.6,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),2.163
2026-09-17,15:05:15,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_A,False,CE 23250,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING;NO_CONFIRMATION,confirmation,0.07,EVENT_INVALIDATED,2.382,-0.841,7.1,-10.2,DETECTED_EARLY,MISSED PROFITABLE OPPORTUNITY,0.37
2026-09-17,15:05:20,NIFTY,UP,MOMENTUM_EVENT,STRONG,MODE_A,False,CE 23250,True,RISK_TOO_LARGE,risk,-0.873,FUTURES_DIVERGENCE,2.166,-1.118,7.0,-10.3,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),2.004
2026-09-17,15:07:10,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_A,False,CE 23350,False,WEAK_MOMENTUM,confirmation,-0.544,FUTURES_DIVERGENCE,0.761,-3.371,5.0,-11.6,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),2.274
2026-09-17,15:07:45,NIFTY,UP,CONTINUATION_EVENT,STRONG,MODE_A,False,CE 23300,True,RISK_TOO_LARGE,risk,0.348,EVENT_INVALIDATED,2.83,-1.088,0.0,-16.6,DETECTED_EARLY,MISSED PROFITABLE OPPORTUNITY,2.436
2026-09-17,15:08:45,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,MODE_A,False,PE 23300,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING;NO_CONFIRMATION,confirmation,-0.173,FUTURES_DIVERGENCE,4.163,-3.079,4.8,-12.8,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),-0.065
2026-09-17,15:09:45,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_A,False,CE 23300,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING,confirmation,-0.259,UNDERLYING_INVALIDATION,7.134,-1.038,3.1,-14.5,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),-1.261
2026-09-17,15:10:50,NIFTY,UP,MOMENTUM_EVENT,STRONG,MODE_A,False,CE 23300,False,OPTION_NOT_RESPONDING,confirmation,0.0,UNDERLYING_INVALIDATION,6.17,-1.928,5.4,-16.2,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),0.644
2026-09-17,15:12:10,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,MODE_A,False,PE 23350,False,WEAK_MOMENTUM;NO_CONFIRMATION,confirmation,-2.056,MOMENTUM_FAILURE,-1.289,-10.488,1.6,-20.0,NO_FOLLOW_THROUGH,GENUINELY BAD SIGNAL (would have lost),1.156
2026-09-17,15:13:25,NIFTY,UP,MOMENTUM_EVENT,STRONG,MODE_A,False,CE 23300,True,RISK_TOO_LARGE,risk,-0.706,EVENT_INVALIDATED,2.95,-1.246,5.0,-10.9,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),2.359
2026-09-17,15:14:25,NIFTY,DOWN,REVERSAL_EVENT,WEAK,MODE_A,False,PE 23300,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING,confirmation,-1.004,EVENT_INVALIDATED,3.011,-3.741,1.7,-12.8,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),-1.497
