date,symbol,hr,expiry,expiry_day,completeness,prior_hr_days,eligible,reason
2026-09-11,NIFTY,False,,,no data,0,False,no HR 5-second capture for this date (HR-1 began 2026-09-15)
2026-09-11,SENSEX,False,,,no data,0,False,no HR 5-second capture for this date (HR-1 began 2026-09-15)
2026-09-15,NIFTY,True,2026-09-15,True,"48/48 instruments, 0 gaps, 0 reconnects, 420 bars 14:55-15:30",0,False,INSUFFICIENT_HISTORY: 0 prior HR day(s) < 2 needed for causal thresholds -- 12A could not have traded
2026-09-15,SENSEX,True,2026-09-17,False,"48/48 instruments, 0 gaps, 0 reconnects, 420 bars 14:55-15:30",0,False,INSUFFICIENT_HISTORY: 0 prior HR day(s) < 2 needed for causal thresholds -- 12A could not have traded
2026-09-16,NIFTY,True,2026-09-22,False,"48/48 instruments, 0 gaps, 0 reconnects, 420 bars 14:55-15:30",1,False,INSUFFICIENT_HISTORY: 1 prior HR day(s) < 2 needed for causal thresholds -- 12A could not have traded
2026-09-16,SENSEX,True,2026-09-17,False,"48/48 instruments, 0 gaps, 0 reconnects, 420 bars 14:55-15:30",1,False,INSUFFICIENT_HISTORY: 1 prior HR day(s) < 2 needed for causal thresholds -- 12A could not have traded
2026-09-17,NIFTY,True,2026-09-22,False,"48/48 instruments, 0 gaps, 0 reconnects, 420 bars 14:55-15:30",2,True,"eligible; thresholds from 2026-09-15, 2026-09-16"
2026-09-17,SENSEX,True,2026-09-17,True,"48/48 instruments, 0 gaps, 0 reconnects, 420 bars 14:55-15:30",2,True,"eligible; thresholds from 2026-09-15, 2026-09-16"
2026-09-18,NIFTY,True,2026-09-22,False,"48/48 instruments, 0 gaps, 0 reconnects, 420 bars 14:55-15:30",3,True,"eligible; thresholds from 2026-09-15, 2026-09-16, 2026-09-17"
2026-09-18,SENSEX,True,2026-09-24,False,"48/48 instruments, 0 gaps, 0 reconnects, 420 bars 14:55-15:30",3,True,"eligible; thresholds from 2026-09-15, 2026-09-16, 2026-09-17"
