date,symbol,time,i,dir,family,strength,mode,window,expiry,passed,traded_lots,reasons,cf_pnl,cf_mfe,cf_mae,cf_tmfe,cf_tmae,timing,dq,anat_onset_to_det_s,anat_pre_fut,anat_fut_mfe_after,anat_fut_consumed,anat_pre_opt,anat_opt_mfe_after,anat_opt_consumed,anat_det_to_entry_opt,anat_t_fut_peak_after_det,anat_resp_f_before_det,anat_resp_o_before_det,anat_resp_lag_bars,anat_acc_both_before,anat_cls,anat_fade,anat_fade_ratio,sim5_entry_ask,sim5_spread_in,sim5_spread_out,sim5_pnl,sim5_reason,sim5_hold,sim5_peak,sim5_mfe,sim5_mae,sim5_t_mfe,sim5_t_mae,sim5_capture,sim5_plan_ask
2026-09-17,NIFTY,14:55:35,6,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,PRE,PRE 14:55-15:00,False,False,False,"['TIME_WINDOW_CLOSED', 'WEAK_MOMENTUM', 'OPTION_NOT_RESPONDING']",-0.17086715079026302,-0.17086715079026302,-7.2191371208885124,5.0,275.0,DETECTED_EARLY,GOOD,10,0.7999999999992724,0.0,1.0,0.6959547629404064,1.0151187904967578,0.4067357370712608,1.0151187904967578,,False,True,,False,FALSE_OPTION_MOVE,False,0.0,117.05,0.2138,0.1283,-0.17086715079026302,EVENT_INVALIDATED,5.0,0.0,-0.17086715079026302,-7.2191371208885124,5.0,275.0,,115.85
2026-09-17,NIFTY,14:56:50,21,-1,CURRENT_12A_MOMENTUM_EVENT,WEAK,PRE,PRE 14:55-15:00,False,False,False,"['TIME_WINDOW_CLOSED', 'WEAK_MOMENTUM']",-0.34877927254608304,4.434479322371702,-2.4912805181863478,200.0,270.0,DETECTED_LATE,GOOD,60,7.150000000001455,10.349999999998545,0.40857142857151174,2.7385717295133767,4.244412548697968,0.3921778455177688,-0.12302645068689069,220,True,True,-10,False,OPTION_LEAD,False,0.19480519480519437,121.8,0.0411,0.2465,-0.20525451559934318,TIME_EXIT,120.0,1.8472906403940887,4.228243021346474,-2.2988505747126418,200.0,290.0,-0.0485436893203883,122.05
2026-09-17,NIFTY,14:59:10,49,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,PRE,PRE 14:55-15:00,False,False,False,"['TIME_WINDOW_CLOSED', 'WEAK_MOMENTUM', 'OPTION_NOT_RESPONDING']",-0.26821636119803055,3.665623603039793,-2.9056772463120253,230.0,60.0,DETECTED_EARLY,GOOD,20,2.8000000000029104,7.299999999999272,0.27722772277250546,0.7343124165554098,2.5844930417495005,0.22125804774663171,-1.2812016788159954,295,True,True,-8,True,OPTION_LEAD,True,1.2906976744186038,111.85,0.2238,0.0448,-0.26821636119803055,UNDERLYING_INVALIDATION,5.0,0.0,3.665623603039793,-2.9056772463120253,230.0,60.0,-0.07317073170731624,113.35
2026-09-17,NIFTY,15:00:55,70,1,CURRENT_12A_MOMENTUM_EVENT,STRONG,MODE_A,15:00-15:03,False,True,False,['RISK_TOO_LARGE'],-1.2291483757682227,1.7998244073748875,-2.0632133450395154,125.0,235.0,DETECTED_EARLY,GOOD,25,8.549999999999272,8.0,0.5166163141993745,4.943665210393195,1.7528483786152498,0.7382446320287697,-0.24101665205958936,275,True,True,-3,True,OPTION_LEAD,False,0.05116279069767283,113.9,0.1318,0.2663,-1.2291483757682227,EVENT_INVALIDATED,60.0,0.570676031606665,1.7998244073748875,-2.0632133450395154,125.0,235.0,-0.6829268292682965,114.25
2026-09-17,NIFTY,15:02:35,90,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_A,15:00-15:03,False,False,False,['WEAK_MOMENTUM'],-0.6090808416389781,2.048726467331128,-3.2115171650055276,265.0,140.0,DETECTED_EARLY,GOOD,30,3.4500000000007276,12.450000000000728,0.2169811320754976,1.5111111111111135,2.758318739054283,0.35393744929491544,0.6129597197898449,300,False,True,-4,False,OPTION_LEAD,False,0.0,115.05,0.2611,0.262,-0.6084311169056957,FUTURES_DIVERGENCE,55.0,0.7822685788787533,1.8687527162103483,-3.0421555845284662,265.0,135.0,-0.32558139534883773,114.35
2026-09-17,NIFTY,15:05:15,122,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_A,15:03-15:06,False,False,False,"['WEAK_MOMENTUM', 'OPTION_NOT_RESPONDING', 'NO_CONFIRMATION']",0.07005253940454943,2.3817863397548202,-0.8406304728546331,105.0,20.0,DETECTED_EARLY,GOOD,5,5.849999999998545,7.05000000000291,0.4534883720928593,1.7905102954341987,3.2102022867194298,0.35805103093189367,0.6156552330694837,150,False,True,-1,False,SYNCHRONIZED,False,0.027027027027023014,114.5,0.1748,0.1744,0.08733624454147976,EVENT_INVALIDATED,5.0,0.08733624454147976,2.3580786026200897,-0.9606986899563269,105.0,20.0,0.0370370370370349,113.85
2026-09-17,NIFTY,15:05:20,123,1,CURRENT_12A_MOMENTUM_EVENT,STRONG,MODE_A,15:03-15:06,False,True,False,['RISK_TOO_LARGE'],-0.8732099196646874,2.165560600768421,-1.117708697170796,300.0,15.0,DETECTED_EARLY,GOOD,10,6.200000000000728,6.700000000000728,0.4806201550387619,2.4843330349149433,2.51146538545534,0.4972844830538233,0.19654946494868622,145,True,True,-1,True,SYNCHRONIZED,False,0.0,114.8,0.1744,0.0879,-0.9146341463414609,FUTURES_DIVERGENCE,5.0,0.0,2.308362369337984,-1.2195121951219439,300.0,15.0,-0.3962264150943377,114.6
2026-09-17,NIFTY,15:07:10,145,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_A,15:06-15:09,False,False,False,['WEAK_MOMENTUM'],-0.543773790103317,0.7612833061446469,-3.371397498640575,195.0,45.0,DETECTED_EARLY,GOOD,40,6.80000000000291,2.650000000001455,0.7195767195766951,3.0742204655248138,0.29825308904985814,0.9115625121373344,-0.3834682573497986,35,True,True,0,False,SYNCHRONIZED,False,0.1285714285714253,117.05,0.2566,0.0858,-0.42716787697565145,FUTURES_DIVERGENCE,15.0,0.0,0.42716787697565145,-2.9474583511319974,195.0,45.0,-1.0,117.5
2026-09-17,NIFTY,15:07:45,152,1,CURRENT_12A_CONTINUATION_EVENT,STRONG,MODE_A,15:06-15:09,False,True,False,['RISK_TOO_LARGE'],0.34828036569438897,2.82977797126687,-1.0883761427949499,290.0,10.0,DETECTED_EARLY,GOOD,60,5.80000000000291,0.0,1.0,1.2803819444444395,1.349903578315837,0.4867843940762674,-1.6927362331262006,,True,True,0,False,SYNCHRONIZED,True,1.2325581395348846,114.85,0.2616,0.1734,0.34828036569438897,EVENT_INVALIDATED,5.0,0.34828036569438897,2.82977797126687,-1.0883761427949499,290.0,10.0,0.12307692307692483,116.75
2026-09-17,NIFTY,15:08:45,164,-1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_A,15:06-15:09,False,False,False,"['WEAK_MOMENTUM', 'OPTION_NOT_RESPONDING', 'NO_CONFIRMATION']",-0.17346053772766942,4.163052905464005,-3.0789245446660862,190.0,270.0,DETECTED_EARLY,GOOD,60,3.650000000001455,5.75,0.3882978723405202,1.3406593406593457,4.272392105833873,0.23884679366281758,-0.08674907829105055,215,True,False,11,False,UNDERLYING_LEAD,False,0.06557377049180863,115.3,0.2171,0.2603,-0.17346053772766942,FUTURES_DIVERGENCE,5.0,0.0,4.163052905464005,-3.0789245446660862,190.0,270.0,-0.04166666666666728,115.4
