symbol,date,minute,event_class,direction,underlying_state,underlying_change,implied_change,ce_change_pct,pe_change_pct,option_pressure,ce_oi_change,pe_oi_change,ce_volume_accel,pe_volume_accel,ce_iv_change,pe_iv_change,ce_spread_change,next_reliable_minute,next_reliable_move,preceded_same_direction
NIFTY,2026-07-20,15:04,A_UNDERLYING_MOVED_FIRST,-1,LIVE,-5.5,-4.2651480000022275,-3.345324,3.443709,-0.250668,-75790.0,-128570.0,-385060.0,-450840.0,0.122259,-0.041082,-0.06447300000000003,,,
NIFTY,2026-07-20,15:05,B_OPTIONS_MOVED_FIRST,-1,LIVE,-2.849999999998545,-5.378892000000633,-3.758839,2.720871,-0.530706,50765.0,-25545.0,417495.0,350415.0,-0.276976,0.245521,0.08606100000000003,15:06,1.1499999999978172,
NIFTY,2026-07-20,15:07,B_OPTIONS_MOVED_FIRST,1,LIVE,3.900000000001455,7.191335999999865,5.491551,-4.76493,0.528054,-29575.0,-79170.0,199030.0,96200.0,0.318548,-0.364787,-0.08879999999999999,15:08,0.4500000000007276,
NIFTY,2026-07-20,15:15,B_OPTIONS_MOVED_FIRST,1,LIVE,4.549999999999272,6.208993000000191,6.06168,-2.597403,0.59015,-367835.0,-119015.0,980655.0,582790.0,0.437549,0.001946,0.062793,15:16,-0.6999999999970896,
SENSEX,2026-07-20,15:03,B_OPTIONS_MOVED_FIRST,1,LIVE,6.7700000000040745,20.397113000013633,2.554815,-2.237848,0.138494,0.0,0.0,11160.0,-1220.0,0.212226,-0.267209,-0.058360999999999996,15:04,-22.389999999999418,False
SENSEX,2026-07-20,15:04,C_BOTH_MOVED_TOGETHER,-1,LIVE,-22.389999999999418,-23.3466630000039,-2.72393,2.659574,-0.1993,0.0,0.0,4140.0,-10120.0,-0.006688,-0.076258,-0.032345999999999986,,,
SENSEX,2026-07-20,15:05,B_OPTIONS_MOVED_FIRST,-1,LIVE,-10.790000000008149,-23.22922500000277,-3.086526,2.153692,-0.476957,10440.0,-4220.0,-6460.0,20660.0,-0.296187,0.210197,0.088924,15:06,-5.849999999991269,
SENSEX,2026-07-20,15:07,C_BOTH_MOVED_TOGETHER,1,LIVE,17.69999999999709,26.410491000002366,2.886129,-3.054977,0.282583,-19180.0,-14300.0,14720.0,6300.0,0.106344,-0.183646,0.005118999999999985,,,
SENSEX,2026-07-20,15:11,A_UNDERLYING_MOVED_FIRST,1,LIVE,19.229999999995925,13.362682999999379,1.620725,-1.711505,0.323003,0.0,0.0,42140.0,21180.0,-0.050054,0.013061,0.002910999999999997,,,
SENSEX,2026-07-20,15:13,B_OPTIONS_MOVED_FIRST,1,LIVE,-5.419999999998254,16.12736300000688,1.801687,-2.060222,0.474536,-13440.0,-15640.0,-13160.0,2180.0,0.365396,-0.391849,0.09678799999999999,15:14,3.349999999991269,
SENSEX,2026-07-20,15:16,A_UNDERLYING_MOVED_FIRST,1,LIVE,17.589999999996508,2.8632249999936903,-0.158817,-0.643538,0.422149,-37120.0,-23000.0,480.0,-13140.0,-0.334985,0.244043,0.049314000000000024,,,
SENSEX,2026-07-20,15:19,A_UNDERLYING_MOVED_FIRST,-1,LIVE,-15.119999999995343,-3.0474640000029467,-0.413657,0.474406,-0.311874,0.0,0.0,-4340.0,-480.0,0.237081,-0.116155,-0.011321999999999999,,,
SENSEX,2026-07-20,15:20,A_UNDERLYING_MOVED_FIRST,1,LIVE,15.970000000001164,3.402585000003455,0.241785,-0.606237,0.199454,0.0,0.0,14080.0,12120.0,-0.198966,0.117924,-0.16140000000000002,,,
SENSEX,2026-07-20,15:24,C_BOTH_MOVED_TOGETHER,1,LIVE,24.960000000006403,19.534616000004462,1.619357,-3.073662,0.532999,-25040.0,-14520.0,-580.0,19440.0,-0.167232,0.039893,0.032931000000000044,,,
SENSEX,2026-07-20,15:28,A_UNDERLYING_MOVED_FIRST,-1,LIVE,-25.669999999998254,-9.343831000005594,-0.306279,1.970741,-0.3566,0.0,0.0,28160.0,16860.0,0.392658,-0.090884,0.07422200000000001,,,
NIFTY,2026-07-21,15:04,A_UNDERLYING_MOVED_FIRST,-1,LIVE,-5.350000000002183,,-60.31746,53.887399,-0.360074,-866710.0,132860.0,15516800.0,1209520.0,-1.132169,0.685111,0.9650790000000001,,,
NIFTY,2026-07-21,15:07,A_UNDERLYING_MOVED_FIRST,-1,LIVE,-5.950000000000728,,-31.192661,6.225681,-0.407314,1441830.0,699205.0,-13037505.0,-2834000.0,0.1922,-1.290563,0.8318049999999999,,,
NIFTY,2026-07-21,15:08,A_UNDERLYING_MOVED_FIRST,1,LIVE,6.950000000000728,,-34.666667,9.157509,0.082296,275145.0,1355965.0,4106115.0,-1631500.0,-1.165033,2.676293,1.4149660000000002,,,
NIFTY,2026-07-21,15:10,A_UNDERLYING_MOVED_FIRST,-1,LIVE,-5.5,,-34.482759,4.179567,-0.358413,454805.0,-363350.0,-9354280.0,3988270.0,0.165026,-0.950294,3.6297639999999998,,,
NIFTY,2026-07-21,15:20,A_UNDERLYING_MOVED_FIRST,-1,LIVE,-5.150000000001455,,0.0,-4.990403,-0.55444,-771160.0,-653900.0,-3022175.0,2359955.0,0.340802,-1.502809,0.0,,,
SENSEX,2026-07-21,15:01,B_OPTIONS_MOVED_FIRST,-1,LIVE,9.419999999998254,-15.084294000000227,-2.067864,3.026396,0.218664,0.0,0.0,-6680.0,-13300.0,-0.541662,0.550826,0.05329900000000001,15:02,0.08000000000174623,
SENSEX,2026-07-21,15:03,B_OPTIONS_MOVED_FIRST,1,LIVE,8.729999999995925,16.47358799999347,1.84994,-3.258444,0.43521,0.0,0.0,15240.0,-1740.0,0.049037,-0.317984,0.10769400000000001,15:04,-18.669999999998254,False
SENSEX,2026-07-21,15:04,C_BOTH_MOVED_TOGETHER,-1,LIVE,-18.669999999998254,-22.020113999999012,-3.110384,3.521993,0.233485,0.0,0.0,-21420.0,-9360.0,0.060432,0.034297,0.08646300000000001,,,
SENSEX,2026-07-21,15:08,A_UNDERLYING_MOVED_FIRST,1,LIVE,15.860000000000582,-2.86986700000125,-0.786012,0.235901,0.04457,0.0,0.0,14820.0,27420.0,-0.342319,0.283986,-0.062894,,,
SENSEX,2026-07-21,15:13,B_OPTIONS_MOVED_FIRST,1,LIVE,11.689999999987776,18.74284500000067,2.381724,-3.246181,0.60477,-22840.0,12640.0,16740.0,49300.0,0.062246,-0.198533,-0.227584,15:14,-18.34999999999127,False
SENSEX,2026-07-21,15:14,E_INCONCLUSIVE,,LIVE,-18.34999999999127,-12.348559999998542,-1.49549,2.072264,0.356944,0.0,0.0,14340.0,-28320.0,0.149724,-0.104129,0.20933200000000002,,,
